title,creation_date,date_acquired,cited_name,party_type
Louis XIII, 1640-1650,1928,"Champaigne, Philippe de",
Portrait of Douglas Stewart,1928,1929,"Hailman, Johanna K.",
Landscape with River and Trees,,1929,"Hobbema, Meindert",
Tending the Flock,1858,1929,"Jacque, Charles Émile",
Frederick Ricketts,1793,1929,"Owen, William R.",
J. Dupre Percher, 1820,1929,"Phillips, Thomas",
Virgin and Child,c.1490-1540,1929,"Agabiti, Pietro Paolo",
"Holy Family with Saints Elizabeth, Anne, Joachim and John the Baptist",1530s,1929,Garofalo,
"Portrait of Richard Weston, First Earl of Portland",1630s,1929,"Van Dyck, Anthony",
Portrait of a Child,,1929,"Vos, Cornelis de",
Portrait of Mr. J. Willis Dalzell,19th century,1929,Worlz,
Portrait of Mr. J. Willis Dalzell,,1929,"Boynton, George R.",
Lady Dering (Deborah Winchester),1767,1929,"Cotes, Francis",
Triumphal Return to Rome of Scipio Africanus,mid-15th century,1929,"Guidi, Giovanni",
Portrait of a Gentleman,c.1765-1770,1929,"Gainsborough, Thomas",
The Great Shadow,1925,1929,"Lewis, Martin",
Fifth Avenue Bridge,1928,1929,"Lewis, Martin",
Under the Street Lamp,1928,1929,"Lewis, Martin",
Peasant Interior,,1929,"Teniers The Younger, David",
The Crown of Thorns,1922,1929,"Gill, Eric",
Lady Kinnaird,1811,1930,"Northcote, James",
Joseph R. Woodwell,1904,1930,"Eakins, Thomas",
At the Chestnut Root, 1917,1930,"Davies, Arthur B.",
Henry Rushbury,1927,1931,"Brockhurst, Gerald L.",
Homer Saint-Gaudens,1932,1931,"Luks, George",
The Honorable Thomas Williams,1868-1870,1931,"Mills, Clark",
Portrait of Mrs. Schenley,1842,1931,"Lewis, Thomas",
Portrait of a Boy,1890,1932,"Sargent, John S.",
Sugaring Off,1845,1932,"Matteson, Tompkins H.",
Rosalie Spang,1848,1932,"Sully, Thomas",
Mrs. Charles F. Spang,1845,1932,"Sully, Thomas",
Portrait of Judge Thomas Mellon,1896,1933,"Chartran, Théobald",
Portrait of Mrs. Thomas Mellon (Sarah Negley),1896,1933,"Chartran, Théobald",
Bowl, 1810,1934,"Warford, Joseph",
Tea Caddy (George III),1784-1785,1934,"Plummer, William",
Pittsburgh,1918,1934,"Holland, Francis R.",
"Illustrations for the Book of Job ""Then a Spirit Passed Before My Face; The Hair Of My Flesh Stood Up""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""The Just Upright Man Is Laughed to Scorn""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""With Dreams Upon My Bed Thou Scarest Me & Afrightest Me with Visions""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""I Am Young & Ye Are Very Old: Wherefore I Was Afraid""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""Then the Lord Answered Job Out of the Whirlwind""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""When the Morning Stars Sang Together, & All the Sons of God Shouted for Joy""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""Behold Now Behemoth Which I Made With Thee""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""Thou Has Fulfilled the Judgment of the Wicked""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""I Have Heard Thee with The Hearing of the Ear, But Now My Eye Seeth Thee""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""And My Servant Job Shall Pray for You""",1825,1934,"Blake, William",
Illustrations for the Book of Job Title Page,1825,1934,"Blake, William",
"Illustrations for the Book of Job ""Every One Also Gave Him a Piece of Money""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""There Were Not Found Women Fair as the Daughters of Job in All the Land""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""So the Lord Blessed The Latter End of Job More than the Beginning""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""Thus Did Job Continually""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""When the Almighty Was Yet with Me, When My Children Were About Me""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""Thy Sons and Thy Daughters WEre Eating & Drinking Wine in Their Eldest Brother's House""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""and I Only Am Escaped Alone To Tell Thee""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""Then Went Satan Forth From the Presence of the Lord""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""and Smote Job with Sore Boils from the Sole of His Foot To the Crown of His Head""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""And When They Had Lifted Up Their Eyes Afar Off & Knew Him Not, They Lifted Up Their Voice & Wept""",1825,1934,"Blake, William",
"Illustrations for the Book of Job ""Let the Day Perish Wherein I Was Born""",1825,1934,"Blake, William",
"Untitled (No. 34 from ""A Midsummer Night's Dream"")",1929,1935,"Bourdelle, Pierre",
Morning on the Cape, 1935,1936,"Kroll, Leon",
Ecce Homo,17th-18th century,1936,"Rijn, Rembrandt Harmensz. van",
The South's Breath, 1920,1937,"Davies, Arthur B.",
"The Bloom yard at Night, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
"Casting Steel in the Moulds, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
"The Converting Works, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
"A Corner in the Mills, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
"The Electric Charging Crane, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
"The Light of the Converters, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
"The Merchant Mill, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
"In the Mills at Night, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
"Plate Rolling Mill, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
(Best Wishes for the New Year from R. Ruzicka),1922,1937,"Ruzicka, Rudolph",
Three Figures,c.1925-1937,1937,"Karfiol, Bernard",
(New Year's Card of Harry Watson Kent-1920),1920,1937,"Ruzicka, Rudolph",
Our Cat (With Best Wishes for the New Year),,1937,"Ruzicka, Rudolph",
"Christmas Eve (""Greetings from the House of Weyhe 1927"")",1927,1937,"Gág, Wanda",
L'Homme à l'oeillet (Man with Pink) (after Van Eyck),1869,1937,"Gaillard, Claude-Ferdinand",
The Nativity,1922,1937,"Lankes, Julius J.",
Horses and Ships, 1915 - 1934,1937,"Moore, T. S.",
The Nativity,1923,1937,"Murphy, John J.",
The Nativity,,1937,"Murphy, John J.",
The Nativity,,1937,"Murphy, John J.",
"Cornhill, Boston",1916,1937,"Ruzicka, Rudolph",
"Dobbs Ferry (""Best Wishes for the New Year from R. Ruzicka"")",1920,1937,"Ruzicka, Rudolph",
Peck's Slip,1916,1937,"Ruzicka, Rudolph",
Queensboro Bridge (No. 2),1916,1937,"Ruzicka, Rudolph",
The Red Ferry,,1937,"Ruzicka, Rudolph",
"St. Paul's, New York City",,1937,"Ruzicka, Rudolph",
Narodu (Czechoslovakian Christmas Greeting-Booklet),1917,1937,"Ruzicka, Rudolph",
V. & T.,,1937,"Ruzicka, Rudolph",
(Design for Personal Christmas Card),,1937,"Ruzicka, Rudolph",
"Along the Allegheny River, Pittsburgh (Old 16th Street Bridge)",1911,1937,"Ruzicka, Rudolph",
(Design for Personal Christmas Card),,1937,"Ruzicka, Rudolph",
(Design for Personal Christmas Card),,1937,"Ruzicka, Rudolph",
(Best Wishes for 1918),1918,1937,"Ruzicka, Rudolph",
(Best Wishes for the New Year from V.T.F. & R. Ruzicka),1928,1937,"Ruzicka, Rudolph",
(Christmas Greetings from Dr. and Mrs. William S. Dennett 1912),1912,1937,"Ruzicka, Rudolph",
Christmas Greetings from Filomena and Rudolph Ruzicka 1914,1914,1937,"Ruzicka, Rudolph",
"Christmas Greetings from Filomena and Rudolph Ruzicka, New York, 1918-Picture of a Child with ""V"" U.R.",1918,1937,"Ruzicka, Rudolph",
Residence of Mr. and Mrs. Flagler (Christmas and New Year's Greetings from Mr. and Mrs. Harry Harkness Flagler),1907,1937,"Ruzicka, Rudolph",
For 1926, 1925-1926,1937,"Ruzicka, Rudolph",
The Fountain (Christmas Greetings from R. Ruzicka),1923,1937,"Ruzicka, Rudolph",
Pittsburgh (No. 1),1911,1937,"Ruzicka, Rudolph",
The Front Door of 7 Washington Square (Christmas Greetings 1914-Robert W. De Forest's Card),,1937,"Ruzicka, Rudolph",
"The La Fayette Tree, Maple Hill, Geneva New York (Christmas Greetings from Beverly Chew)",1917,1937,"Ruzicka, Rudolph",
"Number Thirty-six Gramercy Park, New York (Christmas Greetings from Dr. and Mrs. William S. Dennett)",1919,1937,"Ruzicka, Rudolph",
Pan (New Year's Card from R. Ruzicka),1926,1937,"Ruzicka, Rudolph",
Pan-1926,1926,1937,"Ruzicka, Rudolph",
"Christmas Greetings from Thomas Lynch Raymond, Newark",1915,1937,"Ruzicka, Rudolph",
"Christmas Greetings from Thomas Lynch Raymond, Neward",1919,1937,"Ruzicka, Rudolph",
Christmas Greetings from Rudolph Ruzicka,1912,1937,"Ruzicka, Rudolph",
"Christmas Greetings from Tatiana, Filomena and Rudolph Ruzicka",1916,1937,"Ruzicka, Rudolph",
With the Best Wishes for a Happy New Year R. Ruzicka 1910,1910,1937,"Ruzicka, Rudolph",
Pittsburgh (No. 2),1911,1937,"Ruzicka, Rudolph",
"With Best Wishes for the New Year, R. Ruzicka 1921",1921,1937,"Ruzicka, Rudolph",
Sweet Hollow Farm (R.W. and E.J. de Forest's Christmas Card - 1912),1912,1937,"Ruzicka, Rudolph",
"A View of My Old Home, Geneva N.Y. (Christmas Greetings from Beverly Chew 1916)",1916,1937,"Ruzicka, Rudolph",
Baby Tatiana,1916,1937,"Ruzicka, Rudolph",
Silhouettes of T. and V.,,1937,"Ruzicka, Rudolph",
"Tatiana, Aged 2, June 5, 1917",1917,1937,"Ruzicka, Rudolph",
Ex Libris Elise West Ames (Bookplate), 1920,1937,"Ruzicka, Rudolph",
Ex Libris Florence Bronson Windom (Bookplate),,1937,"Ruzicka, Rudolph",
Ex Libris Frank Farnum Dresser (Bookplate),,1937,"Ruzicka, Rudolph",
Ex Libris Josephine Dexter (Bookplate),,1937,"Ruzicka, Rudolph",
Pittsburgh (No. 4),1911,1937,"Ruzicka, Rudolph",
Man Reclining on Ground Near Church,,1937,"Ruzicka, Rudolph",
"Portrait of the Engraver, Henry Wolf (Ipse Sculpsit)",1905,1937,"Wolf, Henry",
Design for Personal Christmas Card,1917,1937,"Ruzicka, Rudolph",
"Before the Soaking Pits, from ""In the Pittsburgh Mills""",1906,1937,"Laboureur, Jean-Emile",
Cape Cod Afternoon,1936,1938,"Hopper, Edward",
Joan of Arc,"deled c. 1910-1915, cast after 1917",1938,"Huntington, Anna V. H.",
Novelty Vase,1900-1929,,"Bloom, Aaron",
Portrait of E. Berry Wall,1938,1939,"Dongen, Kees van",
Miniature Portrait of William Croghan,1907,,"Ridley, H.  Agnes",
Miniature Portrait of Mrs. Charles Ridley,1907,,"D'Ajuria, Gregorio",
Miniature Portrait of C. W. H. Schenley,1904,,"Ridley, H.  Agnes",
Miniature Portrait of Miss Alberta Ridley,1908,,"Ridley, H.  Agnes",
Miniature Portrait of General James O'Hara,1919,,"Ridley, H.  Agnes",
Miniature Portrait of Mrs. Mary Schenley,1908,,"Ridley, H.  Agnes",
Cathedral of Learning,1930s,1939,"Orr, Louis",
Georgia Jungle,1939,1939,"Brook, Alexander",
The Old King,1916-1936,1940,"Rouault, Georges",
Portrait of an Englishwoman, 1920,1940,"Derain, André",
LaFayette Street,1918,,"Hassam, Childe",
Land of Nod,1918,,"Hassam, Childe",
Landscape - Land of Nod,1912,,"Hassam, Childe",
The Lithographer,1918,,"Hassam, Childe",
Little Schoolhouse in the Land of Nod,1918,,"Hassam, Childe",
New York Bouquet,1927,,"Hassam, Childe",
New York Skyline - Dark Building,1913,,"Hassam, Childe",
New York Skyline - Light Buildings, late 19th-early 20th century,,"Hassam, Childe",
North River,1917,,"Hassam, Childe",
Afternoon Shadows,1918,1940,"Hassam, Childe",
Nude,1918,,"Hassam, Childe",
On the Ways,1918,,"Hassam, Childe",
Red Cross Nurse,1918,,"Hassam, Childe",
Return of the Fleet,1918,,"Hassam, Childe",
The Service Flag,1910s,1940,"Hassam, Childe",
Spar Shop,1918,1940,"Hassam, Childe",
Stone Fences,1918,1940,"Hassam, Childe",
Storm King,1918,1940,"Hassam, Childe",
"St. Thomas', New York",1918,1940,"Hassam, Childe",
Virginia,1918,1940,"Hassam, Childe",
Avenue of the Allies,1918,1963,"Hassam, Childe",
Wild Cherry Tree,1918,1940,"Hassam, Childe",
Abalone Shell,1917,1940,"Hassam, Childe",
"Atheneum, Portsmouth",1915,1940,"Hassam, Childe",
The Big Cedar,1927,1940,"Hassam, Childe",
Big Horse Chestnut Tree,1928,1940,"Hassam, Childe",
Billboards,1896,1940,"Hassam, Childe",
"Church Doorway, Snow",1916,1940,"Hassam, Childe",
"Church Tower, Portsmouth",1921,1940,"Hassam, Childe",
Cos Cob,1915,1940,"Hassam, Childe",
Cos Cob Dock,1915,1940,"Hassam, Childe",
The Broad Curtain,1918,1963,"Hassam, Childe",
The Dutch Door,1915,1940,"Hassam, Childe",
Easthampton,1917,1940,"Hassam, Childe",
The Hay Barn,1920,1940,"Hassam, Childe",
Hickories in a Hay Field,1917,1940,"Hassam, Childe",
House on Main Street,1922,1940,"Hassam, Childe",
The Lion Gardiner House,1920,1940,"Hassam, Childe",
Little Church Around the Corner,1923,1940,"Hassam, Childe",
Maples in Early Spring,1931,1940,"Hassam, Childe",
Oak and Old House in Spring,1931,1940,"Hassam, Childe",
Old Dominy House,1928,1940,"Hassam, Childe",
Camouflage,1918,1963,"Hassam, Childe",
Old Mulford House,1926,1940,"Hassam, Childe",
"Palmer's Dock, Cos Cob",1915,1940,"Hassam, Childe",
Portsmouth Doorway,1916,1940,"Hassam, Childe",
Self Portrait,1916,1940,"Hassam, Childe",
Skimhampton Road,1929,1940,"Hassam, Childe",
Spring in Annapolis,1929,1940,"Hassam, Childe",
"Toby's, Cos Cob",1915,1940,"Hassam, Childe",
Vermont Village,1923,1940,"Hassam, Childe",
"Village Elms, Easthampton",1923,1940,"Hassam, Childe",
Wayside Inn Oaks in Spring,1926,1940,"Hassam, Childe",
"Colonial Church, Gloucester", late 19th-early 20th century,1963,"Hassam, Childe",
White Kimono,1915,1940,"Hassam, Childe",
Deshabille,1918,1963,"Hassam, Childe",
French Cruiser,1918,,"Hassam, Childe",
Mrs. Hassam Knitting,1918,,"Hassam, Childe",
Inner Harbor,1918,,"Hassam, Childe",
Aurora Leigh,1904,1940,"Alexander, John White",
Madonna and Child,17th century,1940,"Granada, School of",
Dawn,1896,1940,"Breton, Jules Adolphe",
Black Reef,1940,1940,"Mattson, Henry E.",
Vermont Pastoral,1939,1940,"Lucioni, Luigi",
The Wood Gatherer,1894,1941,"Beatty, John Wesley",
Interior,1929,1941,"Brook, Alexander",
Charles D. Warner,1896,1941,"Reinhart, Charles S.",
Lee's Surrender at Appomattox,1896,1941,"Reinhart, Charles S.",
Trophy of the Hunt,1885,1941,"Harnett, William M.",
The Terrace, 1930 - 1940,1941,"Locke, Charles W.",
Merry-Go-Round,1938,1941,"Marsh, Reginald",
Determined,,1941,"Kent, Norman",
Longing, 1940,1941,"Mastro-Valerio, Alessandro",
Club Fighter,1939,1941,"Riggs, Robert",
The Story Hour,,1941,"Farmer, Mabel M.",
Steel Mills,,1941,"Sternberg, Harry",
Victorian Mansion,1939,1941,"Kupferman, Lawrence",
Fast Freight,,1941,"Helck, Peter",
Studio Interior, 1934-1935,1941,"Landeck, Armin",
Harvest,1940,1941,"Adams, Kenneth M.",
Snowshroud (Pittsburgh No. 1),,1941,"Boyer, Louise M.",
In Memoriam,1939,1941,"Arms, John Taylor",
Morning Light, 1940,1941,"Soyer, Raphael",
Romanza,,1996,"Reed, Doel",
Evangelist,,1941,"de Martelly, John S.",
Junked,1939,1941,"Albee, Grace Arnold",
Bread Line,1932,1942,"Marsh, Reginald",
Girl in Fur Jacket Reading Tabloid,1940,1942,"Marsh, Reginald",
Steeplechase Swings,1935,1942,"Marsh, Reginald",
Pont Neuf,1932,1942,"Young, Mahonri",
Check,,1942,"Anderson, Frank Hartley",
Stranger in England,1940,1942,"Arms, John Taylor",
Absalom,,1942,"Evergood, Philip",
Landscape with Figures,,1942,"Evergood, Philip",
Menacing Black Horse,1930-1931,1942,"Evergood, Philip",
"Windy Day, Isle of Orleans",1941,1942,"Kent, Norman",
Fisherman's Paradise-Gloucester,,1942,"Margolies, S. L.",
"Cock Fight, Santo Domingo",1923,1942,"Hart, George O.",
Log Cabin,1927,1942,"Lankes, Julius J.",
Still Life II,1929,1942,"Lozowick, Louis",
Chair,,1942,"Nalbandian, Karnig",
Russia,1919,1942,"Robinson, Boardman",
A Fine Point of Law,,1942,"Sharp, William",
The Man Monkey,1905,1942,"Sloan, John",
Help,1927,1942,"Bacon, Peggy",
Farming,,1942,"Vorst, Joseph P.",
Ironing,,1942,"Vorst, Joseph P.",
The Jungle,,1942,"Wickey, Harry",
Lunch No. 1. Hors D'Oeuvers, 1928,1942,"Bacon, Peggy",
Coffee Huskers,1928,1942,"Biddle, George",
Two Goats and a Rooster,,1942,"Biddle, George",
Conversation Piece,,1942,"Castellon, Federico",
Of Land and Sea,1939,1942,"Castellon, Federico",
Franciscan Church at Rothenburg,1912,1942,"Leisser, Martin B.",
Christ's Death,,1942,"Toppi, Mario",
Lady Turing,1797,1942,"Raeburn, Henry",
Fiesta in Mallorca,1926,1942,"Junyer, Joan",
Rebellion,1936,1942,"Corbino, Jon",
The Old Fireplace, 1900,1942,"Gay, Walter",
The Three Vases, 1900,1942,"Gay, Walter",
Mother and Child,,1942,"Simon, Lucien",
The Old Woman,,1942,"Simon, Lucien",
Against the Wall,c.1935-1942,1942,"Kopman, Benjamin",
"A View of Charles Street Church, Boston as Lately Restored",1921,1942,"Ruzicka, Rudolph",
"A View of Faneuil Hall, Boston",1913,1942,"Ruzicka, Rudolph",
"View of the First Church, Lancaster, Massachusetts",1916,1942,"Ruzicka, Rudolph",
"A View of Fort Independence on Castle Island, Boston Harbor",1932,1942,"Ruzicka, Rudolph",
"A View of the Frog Pond, Boston Common",1934,1942,"Ruzicka, Rudolph",
"A View of Gore Place, Waltham, Massachusetts",1938,1942,"Ruzicka, Rudolph",
"A View of Gore Hall and the Weeks Memorial Bridge, Cambridge",1927,1942,"Ruzicka, Rudolph",
A View of the Granary Burying-Ground (Showing Monument to Benjamin Franklin's Parents and Park Street Church),1922,1942,"Ruzicka, Rudolph",
"A View of the House of the Seven Gables, Salem Massachusetts",1925,1942,"Ruzicka, Rudolph",
"Lowell House, Harvard University",1931,1942,"Ruzicka, Rudolph",
"Christ Church, Salem Street, Boston, Looking West from ""The Prado""",1935,1942,"Ruzicka, Rudolph",
"A View of the Market House at Salem, Massachusetts",1940,1942,"Ruzicka, Rudolph",
"A View of Minot's Light Off Cohasset, Massachusetts",1941,1942,"Ruzicka, Rudolph",
"A View of the Old State House, Boston",1911,1942,"Ruzicka, Rudolph",
"A View of the Old West Church, Cambridge Street",1913,1942,"Ruzicka, Rudolph",
"View of the Quincy Homestead, Quincy, Massachusetts",1929,1942,"Ruzicka, Rudolph",
"A View of Some Old Gardens, Beacon Hill, Boston",1939,1942,"Ruzicka, Rudolph",
"A View of the Summer House Built in 1795 for Elias Hasket Dederby of Salem by Samuel McIntire and now at Glen Magna Farm, Danvers, Massachusettes",1939,1942,"Ruzicka, Rudolph",
"A View of University Hall, Harvard University, Cambridge",1923,1942,"Ruzicka, Rudolph",
"A View of Walden Pond, Near Concord, Massachusetts",1926,1942,"Ruzicka, Rudolph",
"The Washington Monument in the Public Garden, Boston",1933,1942,"Ruzicka, Rudolph",
"A Corner of Louisburg Square, Beacon Hill, Boston",1914,1942,"Ruzicka, Rudolph",
"Worcester Square Looking Towards the City Hospital, Boston",1937,1942,"Ruzicka, Rudolph",
The Custom-House Tower from the Waterside,1919,1942,"Ruzicka, Rudolph",
Peace on Earth to Men of Good Will,1918,1942,"Ruzicka, Rudolph",
"Saint Stephen's Church (Charles Bulfinch Architect) on Hanover Street, Boston, Looking East from ""The Prado""",1936,1942,"Ruzicka, Rudolph",
"A View of the Adams Mansion, Quincy, Massachusetts, the Home of Presidents John Adams and John Quincy Adams",1928,1942,"Ruzicka, Rudolph",
A View of Beacon Hill From the West Boston Bridge,1920,1942,"Ruzicka, Rudolph",
"A View of Bunker Hill Monument, Charlestown",1915,1942,"Ruzicka, Rudolph",
"A View at Camp Devens, Near Ayer, Massachusetts",1917,1942,"Ruzicka, Rudolph",
San Francisco Gothic, 1941,1942,"Dix, Harry",
Post Office, 1859-1863,1942,"Blythe, David G.",
Noli Me Tangere, 1885-1890,1943,"Ryder, Albert P.",
Heavy the Oar to Him Who is Tired - Heavy the Boat - Heavy the Sea,1939,1943,"Albright, Ivan Le Lorraine",
Into the World There Came a Soul Called Ida,1940,1943,"Albright, Ivan Le Lorraine",
Three Love Birds,1940-1941,1943,"Albright, Ivan Le Lorraine",
Crouching Figure,,1943,"Robinson, Boardman",
Seated Figure,,1943,"Robinson, Boardman",
Standing Figures,,1943,"Robinson, Boardman",
Alexandre Nordmann,1848,1943,"Raffet, Denis A.",
Alexandre Nordmann,1848,1943,"Bry, Auguste",
Amedee Huot,1848,1943,"Raffet, Denis A.",
Amedee Huot,1848,1943,"Bry, Auguste",
Auguste de Sainson,1848,1943,"Raffet, Denis A.",
Auguste de Sainson,1848,1943,"Bry, Auguste",
"Camp de Cavalerie (Cuirassiers) a Vosnessensk, 6 Septembre 1937",1842,1943,"Raffet, Denis A.",
"Camp de Cavalerie (Cuirassiers) a Vosnessensk, 6 Septembre 1937",1842,1943,"Bry, Auguste",
"Camp D'Infanterie a Vosnessensk, 6 Septembre 1837",1842,1943,"Raffet, Denis A.",
"Camp D'Infanterie a Vosnessensk, 6 Septembre 1837",1842,1943,"Bry, Auguste",
"Camp de Vosnessensk, 1837",1842,1943,"Raffet, Denis A.",
Frederic Leplay,1848,1943,"Raffet, Denis A.",
Frederic Leplay,1848,1943,"Bry, Auguste",
Henri Malinvaud,1848,1943,"Raffet, Denis A.",
Henri Malinvaud,1848,1943,"Bry, Auguste",
Jean Henri Leveille,1848,1943,"Raffet, Denis A.",
Jean Henri Leveille,1848,1943,"Bry, Auguste",
Leon Lalanne,1848,1943,"Raffet, Denis A.",
Leon Lalanne,1848,1943,"Bry, Auguste",
The Balsam Tree,,1943,"Bianco, Pamela",
Louis Rousseau,1848,1943,"Raffet, Denis A.",
Louis Rousseau,1848,1943,"Bry, Auguste",
Paul Kolounoff,1848,1943,"Raffet, Denis A.",
Paul Kolounoff,1848,1943,"Bry, Auguste",
Raffet,1848,1943,"Raffet, Denis A.",
Raffet,1848,1943,"Bry, Auguste",
"Revue de Cavalerie, Passee Par L.L.M.M. L'Empereur et L'Imperatrice de Russie, au Camp de Vosnessensk, 7 Septembre 1837",1848,1943,"Raffet, Denis A.",
"Revue de Cavalerie, Passee Par L.L.M.M. L'Empereur et L'Imperatrice de Russie, au Camp de Vosnessensk, 7 Septembre 1837",1848,1943,"Bry, Auguste",
Arrestation de Schlome Fuss (Schlome Fuss Being Arrested),1898,1943,"Toulouse-Lautrec, Henri de",
Arrestation de Schlome Fuss (Schlome Fuss Being Arrested),1898,1943,"Toulouse-Lautrec, Henri de",
Une Arrière-Boutique a Cracovie (A Basement Shop in Cracow),1898,1943,"Toulouse-Lautrec, Henri de",
Une Arrière-Boutique a Cracovie (A Basement Shop in Cracow),1898,1943,"Toulouse-Lautrec, Henri de",
Le Baron Moise (La Loge),1898,1943,"Toulouse-Lautrec, Henri de",
Le Baron Moise (La Loge),1898,1943,"Toulouse-Lautrec, Henri de",
Vase of Flowers,,1943,"Bianco, Pamela",
Clemenceau au Busk (Clemenceau in Busk),1898,1943,"Toulouse-Lautrec, Henri de",
Clemenceau au Busk (Clemenceau in Busk),1898,1943,"Toulouse-Lautrec, Henri de",
Georges Clemenceau et l'Oculiste Mayer (Georges Clemenceau and the Oculist Mayer),1898,1943,"Toulouse-Lautrec, Henri de",
Georges Clemenceau et l'Oculiste Mayer (Georges Clemenceau and the Oculist Mayer),1898,1943,"Toulouse-Lautrec, Henri de",
"La Halle aux Draps, Cracovie (The Cloth Hall, Cracow)",1898,1943,"Toulouse-Lautrec, Henri de",
"La Halle aux Draps, Cracovie (The Cloth Hall, Cracow)",1898,1943,"Toulouse-Lautrec, Henri de",
"Les Juifs Polonais, Carlsbad (The Carlsbad Polish Jews)",1898,1943,"Toulouse-Lautrec, Henri de",
"Les Juifs Polonais, Carlsbad (The Carlsbad Polish Jews)",1898,1943,"Toulouse-Lautrec, Henri de",
La Prière des Juifs Polonais (Polish Jews Praying),1898,1943,"Toulouse-Lautrec, Henri de",
La Prière des Juifs Polonais (Polish Jews Praying),1898,1943,"Toulouse-Lautrec, Henri de",
Growth of Spring,1919,1943,"Davies, Arthur B.",
Schlome Fuss à la Synagogue (Schlome Fuss in the Synagogue),1898,1943,"Toulouse-Lautrec, Henri de",
Schlome Fuss à la Synagogue  (Schlome Fuss in the Synagogue),1898,1943,"Toulouse-Lautrec, Henri de",
Angel,1926,1943,"Kent, Rockwell",
Ave Maria,,1943,"Kent, Rockwell",
Child and Lamb,1926,1943,"Kent, Rockwell",
Child and Star,1927,1943,"Kent, Rockwell",
Madonna and Child,1922,1943,"Kent, Rockwell",
On Earth Peace, 1942,1943,"Kent, Rockwell",
Still the Breath Divine Does Move and the Breath Divine is Love,1925,1943,"Kent, Rockwell",
Christmas and New Year's Greeting Card,,1943,"Kent, Rockwell",
Adit,,1943,"Davis, Stuart",
Greetings from J. J. L. (Christmas Card from the Artist),,1943,"Lankes, Julius J.",
The Nativity,,1943,"Laughlin, Alice D.",
The Adoration of the Magi,,1943,"Murphy, John J.",
The Nativity,,1943,"Murphy, John J.",
The Nativity,1922,1943,"Murphy, John J.",
The Nativity,1924,1943,"Murphy, John J.",
The Nativity,1925,1943,"Murphy, John J.",
The Nativity,1926,1943,"Murphy, John J.",
Madelena Comitissa Ab Helffenstein,1593,1943,"Custos, Dominicus",
Place Pasdeloupe No. 1,1929,1943,"Davis, Stuart",
Portrait of Raphael,1860,1943,"Mandel, Eduard",
Portrait of Raphael,1860,1943,Raphael,
Portrait of Hendrick Goltzius,1649,1943,Jonas Suyderhoef,
Portrait of Hendrick Goltzius,1649,1943,"Soutman, Pieter",
Henrietta Catharina of Nassau-1649 (after Honthorst),1649,1943,"Visscher, Cornelis",
The Large Cat,1657,1943,"Visscher, Cornelis",
The Rat Catchers,1655,1943,"Visscher, Cornelis",
"Venus, Eros, and Athena",1510-1520,1943,"Raimondi, Marcantonio",
"Venus, Eros, and Athena",1510-1520,1943,Raphael,
La Petite Passerelle,1904,1943,"MacLaughlan, Donald S.",
Ruelle des Pigeons,,1943,"MacLaughlan, Donald S.",
Place Pasdeloupe No. 2,1929,1943,"Davis, Stuart",
A Woman Churning, 1855,1943,"Millet, Jean F.",
Happy Christmas (Greeting Card),1925,1943,"Myers, Jerome",
"Stock Certificate of Rockwell Kent, Inc.",1919,1943,"Kent, Rockwell",
The Punt,,1943,"Robins, William P.",
Venus et L'Amour, last half of the 19th century,1943,"Fantin-Latour, H.",
Foreboding,1926,1943,"Kent, Rockwell",
Adolphe du Ponceau,1848,1943,"Raffet, Denis A.",
Adolphe du Ponceau,1848,1943,"Bry, Auguste",
Path of Light, 1940,1943,"Rosenberg, James N.",
La Galerie des Glaces,1927,1943,"Ranken, William B.",
"Blair Arch, Princeton",,1943,"Rosenberg, Louis C.",
