title,creation_date,date_acquired,cited_name,party_type
"Study Establishing the Disposition of the Central Group Figures in ""The Sleep of Arthur at Avalon""", 1881,2002,"Burne-Jones, Edward Coley",
"Study of Architecture for ""The Sleep of Arthur at Avalon""", 1881,2002,"Burne-Jones, Edward Coley",
Acrylic stool,1990,2002,"Kuramata, Shiro",
Knotted Chair,1996,2002,"Wanders, Marcel",
Uptown Pittsburgh, 1923-1924,2002,"Archer, Charles K.",
The Coat,1961,2002,"Dine, Jim",
Two Panels: Green Orange,1970,2002,"Kelly, Ellsworth",
For Green,1968,2002,"Noland, Kenneth",
Big Sandwich,1961,2002,"Oldenburg, Claes",
Red Painting,1954,2002,"Reinhardt, Ad",
Montage, 1940,2002,"Shaw, Charles G.",
Australia II,1970,2002,"Stankiewicz, Richard P.",
Nazareth das Farinhas,2002,2002,"Milhazes, Beatriz",
Vista #40,2000,2002,"Bettison, Giles",
Fuschia/Violet,1994,2002,"Blomdahl, Sonja",
Pale Light,1996,2002,"Bohus, Zoltan",
Watching Your Every Move,1996,2002,"Brekke, John",
Hat,1998,2002,"Brenno, Brian",
Señorita,1998,2002,"Chardiet, Jose",
Early Persian,1988,2002,"Chihuly, Dale",
Oxblood and Blue Persian Set with Red Lip Wraps,1990,2002,"Chihuly, Dale",
Red Spotted Ikebana with Chartreuse Stems,1992,2002,"Chihuly, Dale",
Chartreuse Slingbacks with Baby Bows and an Apple,1991,2002,"Cohen, Carol",
Tall Slender Dichroic Neodymium Mongo with Arching Serpents & Cypress Base,1996,2002,"Dreisbach, Fritz",
Divergent Evolution 2,1996,2002,"Glancy, Michael",
Erise II,1995,2002,"Hlava, Pavel",
Naos,1997,2002,"Hora, Petr",
Jerry Vision Vase #7,2000,2002,"Hutter, Sidney",
Reclining Female with Extended Leg,1989,2002,"Jolley, Richard",
Summer View,1996,2002,"Jolley, Richard",
Spring Rite,1992,2002,"LeQuier, K. William",
Struggle,1990,2002,"Lugossy, Maria",
Zanfirico Pear,1994,2002,"Mace, Flora",
Zanfirico Pear,1994,2002,"Kirkpatrick, Joey",
Chartreuse and Black Pair,1992,2002,"Marioni, Dante",
Yellow Mosaic Vase,1998,2002,"Marioni, Dante",
Alien (Organism Series),1998,2002,"Mickelsen, Robert",
Suspended Artifact,1993,2002,"Morris, William",
Persuasion Series: Ravishing,1996,2002,"Mulcahy, Kathleen",
Macle 001,1991,2002,"Negreanu, Matei",
Mountain Skyscape,1994,2002,"Peiser, Mark",
Untitled #R436,1991,2002,"Reid, Colin",
Vogelkuss (Bird kiss),1999,2002,"Peretti, Sibylle",
Untitled #R562,1993,2002,"Reid, Colin",
"YC1196, Mandala Series #10",1996,2002,"Ritter, Richard Q.",
Flaming Snowman,1993,2002,"Ruffner, Ginny",
Untitled (Amber),2001,2002,"de Santillana, Laura",
Madonna,1992,2002,"Savelyeva, Liubov",
Midwestern Autumn,1996,2002,"Statom, Therman",
Muchachos (Friends),2000,2002,"Wingfield, Leah",
Red Dragon,1996,2002,"Townsend, Milon",
Untitled,1990,2002,"Weinberg, Steven",
Untitled,1989,2002,"Zuber, Czeslaw",
"Washington Senior High School, Washington, PA",1987,2002,"Lekawa, Robert",
"Washington Senior High School, Washington, PA",1987,2002,"Hugus, Thomas",
"Bath house for Curwensville State Park, Curwensville, PA",1968,2002,"Hoone, Joseph W.",
"Bath house for Curwensville State Park, Curwensville, PA",1968,2002,"Bianco, Carmen",
"Admissions Building, Torrance State Hospital, Torrance, Pennsylvania",1966,2002,"Hoone, Joseph W.",
"Sunrise Estates Elementary School, Penn Township, PA",1958,2002,"Sorber, Charles H.",
"Sunrise Estates Elementary School, Penn Township, PA",1958,2002,"Hoone, Joseph W.",
"Bath house and other facilities, Yellow Creek State Park, Indiana County, Indiana, PA",1969,2002,"Hoone, Joseph W.",
